task,system,product_type,queries,mrr,recall@1,hit@1,ndcg@1,recall@5,hit@5,ndcg@5,recall@10,hit@10,ndcg@10,recall@50,hit@50,ndcg@50
image,faiss_flat,cellular_phone_case,73,0.9580322531694464,0.9452054794520548,0.9452054794520548,0.9452054794520548,0.9726027397260274,0.9726027397260274,0.9606976678571432,0.9863013698630136,0.9863013698630136,0.9646574599984841,0.9863013698630136,0.9863013698630136,0.9646574599984841
image,faiss_flat,finenecklacebraceletanklet,15,0.32548260381593713,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.5333333333333333,0.5333333333333333,0.3507906338095277,0.6666666666666666,0.6666666666666666,0.3946064459943279,0.9333333333333333,0.9333333333333333,0.45969035449860063
image,faiss_flat,grocery,37,0.5431914799368135,0.4594594594594595,0.4594594594594595,0.4594594594594595,0.6756756756756757,0.6756756756756757,0.57256267391715,0.6756756756756757,0.6756756756756757,0.57256267391715,0.7567567567567568,0.7567567567567568,0.5892637749813542
image,faiss_flat,home,18,0.8958333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.9034366392857175,1.0,1.0,0.9209624657738136,1.0,1.0,0.9209624657738136
image,faiss_flat,home_bed_and_bath,17,0.7060655031243266,0.5882352941176471,0.5882352941176471,0.5882352941176471,0.8823529411764706,0.8823529411764706,0.7399640513206381,0.9411764705882353,0.9411764705882353,0.7595718944578931,1.0,1.0,0.7750218671071397
image,faiss_flat,home_furniture_and_decor,14,0.8154761904761905,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0,1.0,0.8615433079746323,1.0,1.0,0.8615433079746323,1.0,1.0,0.8615433079746323
image,faiss_flat,sandal,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
image,faiss_flat,shoes,92,0.8948714630779848,0.8586956521739131,0.8586956521739131,0.8586956521739131,0.9239130434782609,0.9239130434782609,0.8969969458074545,0.967391304347826,0.967391304347826,0.9103331182287028,1.0,1.0,0.9183914545132295
image,numpy_exact,cellular_phone_case,73,0.9580322531694464,0.9452054794520548,0.9452054794520548,0.9452054794520548,0.9726027397260274,0.9726027397260274,0.9606976678571432,0.9863013698630136,0.9863013698630136,0.9646574599984841,0.9863013698630136,0.9863013698630136,0.9646574599984841
image,numpy_exact,finenecklacebraceletanklet,15,0.32548260381593713,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.5333333333333333,0.5333333333333333,0.3507906338095277,0.6666666666666666,0.6666666666666666,0.3946064459943279,0.9333333333333333,0.9333333333333333,0.45969035449860063
