query_id,lexical_only_relevant_hits,vector_only_relevant_hits,overlap_relevant_hits,union_relevant_hits,union_candidate_recall,union_size
text_00ddf1459a3bb1b3,0,0,3,3,1.0,77
text_0436f8e9fa556e2d,42,0,5,47,1.0,95
text_05386261b8c6d73f,0,0,2,2,1.0,71
text_0946a27795b1fc8a,5,0,0,5,1.0,100
text_0a2fdfa57fe7e4a3,0,0,2,2,1.0,62
text_0c81c413ded5732d,0,0,3,3,1.0,88
text_13f85590fc8bdc5d,2,0,3,5,1.0,88
text_1944f12255536e6b,0,0,2,2,1.0,77
text_1f70ab53750564cf,0,0,3,3,1.0,83
text_1fb996eb2d1608be,0,0,2,2,1.0,92
text_2629c383385a21f1,0,0,2,2,1.0,78
text_29c7f7f8944aac7c,44,0,2,46,1.0,98
text_2a29f6aa916d0135,1,0,3,4,1.0,84
text_2abe8e4319c898ae,2,0,0,2,1.0,73
text_2cf5ae0e1c0a5b89,1,0,2,3,1.0,76
text_33ca61e63435c940,0,0,2,2,1.0,59
text_3e4ecaae63636409,0,0,3,3,1.0,70
text_4348f4e7f39777b6,0,0,2,2,1.0,89
text_498bddc590464d08,1,0,1,2,1.0,78
text_4b81ed9b3d3156e3,0,0,2,2,1.0,55
text_4fb2e14b992fc966,10,0,3,13,0.8125,92
text_52bdda5bb6ded8b4,0,0,3,3,1.0,85
text_54b5236cf702daae,0,0,2,2,1.0,65
text_565540d18892790f,0,0,5,5,1.0,91
text_59d1bbf87bf63494,0,0,2,2,1.0,74
text_5a020391c5e4d264,0,0,3,3,1.0,81
text_5a06ca3900e660a1,0,0,2,2,1.0,77
text_5ddff4a03231c7b8,1,0,1,2,1.0,96
text_6072639f84775092,0,0,3,3,1.0,92
text_631845dd8c994671,0,0,2,2,1.0,82
text_6925639569f9d1e6,0,0,3,3,1.0,70
text_69a57a78c96622e2,0,0,2,2,1.0,68
text_6a8d25fec6992b9c,0,0,2,2,1.0,89
text_73493a931aa561c0,0,0,2,2,1.0,80
text_753863cff234c8fa,3,0,0,3,1.0,96
text_77e5d5a532e8c0da,2,0,0,2,1.0,100
text_7892070817d29690,1,0,5,6,1.0,89
text_7c8263371a3450e3,0,0,2,2,1.0,82
text_8060b198f2fbf239,0,0,2,2,1.0,81
text_8229297bbbd1df5d,0,0,5,5,1.0,73
text_8422956e4096a5d5,0,0,2,2,1.0,57
text_848cabb69b2c816e,0,0,2,2,1.0,96
text_858dfc79dd6f60b6,0,0,2,2,1.0,82
text_883f128b86f6745d,0,0,2,2,1.0,75
text_8a65480a540f950b,0,0,4,4,1.0,67
text_8fb6608d4fdadf26,0,0,2,2,1.0,59
text_90fa957974a40877,0,0,2,2,1.0,88
text_91571473f01ad230,1,0,1,2,1.0,85
text_9cdba84abe279080,8,0,0,8,1.0,99
text_a4b6b07a9e6a3955,0,0,2,2,1.0,79
text_a519f951647d1d00,0,0,2,2,1.0,51
text_a77bfb86f3346300,0,0,3,3,1.0,81
text_a971781f8e5fcd11,0,0,5,5,1.0,77
text_ac02c9792be1b131,0,0,3,3,1.0,91
text_b503a68c3fb6ccb3,0,0,3,3,1.0,75
text_b607b162652e3ac5,0,0,2,2,1.0,72
text_bba2c71267ad3021,4,0,0,4,1.0,96
text_bdd196be8a30738e,6,0,0,6,1.0,96
text_c093e0d15ab221b7,0,0,2,2,1.0,84
text_c1850e1fc5fae82c,0,0,6,6,1.0,86
text_c2c71da87cc32b0c,0,0,11,11,1.0,69
text_c8020290b6886c2d,0,0,9,9,1.0,70
text_c9efa4b3de63f618,2,0,1,3,1.0,96
text_ca3a7e391894b609,45,0,4,49,1.0,95
text_cc5dadacd3e504e1,0,0,2,2,1.0,79
text_cee12982753828a0,0,0,4,4,1.0,71
text_d07818a83d289111,0,0,2,2,1.0,75
text_d456ff5a996660aa,0,0,4,4,1.0,83
text_d4a52c8cb24b88f4,0,0,3,3,1.0,82
text_db2c43f2468d32de,44,0,1,45,1.0,99
text_ddb12af16c90e8a9,0,0,2,2,1.0,77
text_dee93238523b231f,0,0,2,2,1.0,69
text_def86967b3b81d60,0,0,2,2,1.0,58
text_e4cefdcd45ffb84c,0,0,4,4,1.0,82
text_e856864d96184374,11,0,1,12,1.0,94
text_ecfcc959d6412775,4,0,10,14,1.0,83
text_eef690e123dddb44,0,0,9,9,1.0,75
text_f457c684d1f5827e,6,0,0,6,1.0,93
text_fb5fff7871f7564a,0,0,5,5,1.0,77
text_fe8a3c411e9ba2b8,0,0,2,2,1.0,84
text_ff095ce9bc7288db,0,0,2,2,1.0,89
