category,users,model,recall@5,recall@10,ndcg@5,ndcg@10
accessories,403,Collaborative,0.20347394540942929,0.2853598014888337,0.12621144290644437,0.15209942397506987
accessories,403,Content,0.07196029776674938,0.11910669975186104,0.043262609577204146,0.05840950563139383
accessories,403,Hybrid,0.20347394540942929,0.31265508684863524,0.12830601376075176,0.16288400263293734
apparel,424,Collaborative,0.15566037735849056,0.25471698113207547,0.09808839564229369,0.13003379316357
apparel,424,Content,0.054245283018867926,0.10613207547169812,0.03180620528723769,0.04861904676227156
apparel,424,Hybrid,0.16037735849056603,0.25471698113207547,0.09868906516070469,0.1289465465257644
beauty,379,Collaborative,0.1662269129287599,0.2796833773087071,0.10404355886207972,0.14103524511978477
beauty,379,Content,0.047493403693931395,0.10554089709762533,0.02572562724189635,0.044319891459430785
beauty,379,Hybrid,0.16886543535620052,0.27440633245382584,0.10671006791081149,0.1403509467214791
books,363,Collaborative,0.14049586776859505,0.25895316804407714,0.097512243422188,0.1349781304239057
books,363,Content,0.05509641873278237,0.1184573002754821,0.029955280570009683,0.04989149342484152
books,363,Hybrid,0.1349862258953168,0.24242424242424243,0.09170376761839752,0.12581311766026362
electronics,418,Collaborative,0.18181818181818182,0.2751196172248804,0.11300576887537812,0.14290792399851637
electronics,418,Content,0.07655502392344497,0.15789473684210525,0.043382341812490455,0.06867730405062261
electronics,418,Hybrid,0.18421052631578946,0.2894736842105263,0.11486661879559708,0.14841327589098338
grocery,379,Collaborative,0.12928759894459102,0.22163588390501318,0.08691018637640549,0.11651435744746695
grocery,379,Content,0.0712401055408971,0.11609498680738786,0.04191454605340286,0.05603492530369208
grocery,379,Hybrid,0.13192612137203166,0.22955145118733508,0.08943307885440324,0.12025524667041407
home,428,Collaborative,0.1705607476635514,0.29205607476635514,0.1112734693316461,0.14981724476573174
home,428,Content,0.0397196261682243,0.12850467289719625,0.019081859109790943,0.04745542024438319
home,428,Hybrid,0.1822429906542056,0.3060747663551402,0.11683219754882551,0.1564847996815855
pet_supplies,385,Collaborative,0.17662337662337663,0.24415584415584415,0.11133301861411715,0.1336360699426632
pet_supplies,385,Content,0.06493506493506493,0.10909090909090909,0.036931367740548386,0.051021418088214004
pet_supplies,385,Hybrid,0.17662337662337663,0.2545454545454545,0.1131023813600957,0.1385360017505657
sports,383,Collaborative,0.1409921671018277,0.24281984334203655,0.09164041744257044,0.12475148012847463
sports,383,Content,0.06527415143603134,0.1279373368146214,0.042134222012685,0.06203690473948031
sports,383,Hybrid,0.1514360313315927,0.2454308093994778,0.09608113289767521,0.12633330357805428
toys,392,Collaborative,0.15306122448979592,0.2372448979591837,0.09290208175283113,0.12064820290923597
toys,392,Content,0.06377551020408163,0.13010204081632654,0.03823054219574969,0.060308089218300366
toys,392,Hybrid,0.15051020408163265,0.23979591836734693,0.09295659888049272,0.12190855688819216
