dimension_type,dimension_value,view_users,click_users,cart_users,purchase_users,view_events,click_events,cart_events,purchase_events,view_to_click_rate,click_to_cart_rate,cart_to_purchase_rate,view_to_purchase_rate
overall,all,15000,12057,7319,4859,240784,58215,20709,10562,0.24177271,0.35573306,0.5100198,0.04386504
experiment_group,control,7396,5900,3578,2354,119112,28174,10096,4990,0.23653368,0.35834457,0.49425515,0.04189334
experiment_group,treatment,7604,6157,3741,2505,121672,30041,10613,5572,0.24690151,0.35328385,0.52501649,0.04579525
category,accessories,5246,2230,1088,692,24200,5890,2097,1145,0.24338843,0.35602716,0.54601812,0.04731405
category,apparel,5083,2177,1080,730,23901,5925,2136,1252,0.24789758,0.36050633,0.58614232,0.05238275
category,beauty,5088,2121,1028,649,23956,5773,2022,1061,0.24098347,0.35025117,0.52472799,0.04428953
category,books,5155,2189,1063,579,23690,5685,1989,876,0.23997467,0.34986807,0.44042232,0.03697763
category,electronics,5234,2221,1134,647,24652,5874,2067,968,0.23827681,0.35188968,0.46831156,0.03926659
category,grocery,5072,2192,1078,705,24288,5877,2097,1204,0.24197134,0.3568147,0.57415355,0.04957181
category,home,5200,2266,1142,681,24591,6185,2321,1114,0.25151478,0.37526273,0.47996553,0.04530113
category,pet_supplies,5157,2185,1078,653,23517,5689,1976,997,0.24191011,0.34733697,0.50455466,0.04239486
category,sports,5103,2209,1099,567,24374,5769,2082,885,0.23668663,0.36089444,0.42507205,0.03630918
category,toys,5153,2153,1011,642,23615,5548,1922,1060,0.23493542,0.34643115,0.55150884,0.04488672
