model,segment,evaluated_users,recall@5,precision@5,ndcg@5,recall@10,precision@10,ndcg@10,catalog_coverage@10
Content,11+ items,2493,0.057360609707180106,0.011472121941436021,0.0336536884104139,0.12354592860008022,0.012354592860008022,0.05472096837760804,
Content,3-5 items,518,0.059845559845559844,0.011969111969111969,0.032387248529958765,0.10810810810810811,0.010810810810810811,0.04829277969207888,
Content,6-10 items,943,0.07104984093319194,0.014209968186638389,0.04071900955447337,0.1261930010604454,0.012619300106044541,0.05824575252145869,
Hybrid,11+ items,2493,0.17328519855595667,0.034657039711191336,0.11260600857135707,0.27918170878459686,0.027918170878459686,0.14654078000989815,
Hybrid,3-5 items,518,0.13127413127413126,0.02625482625482626,0.07805956970843765,0.21814671814671815,0.021814671814671817,0.10534332958488964,
Hybrid,6-10 items,943,0.16224814422057265,0.03244962884411453,0.10054875467434685,0.256627783669141,0.025662778366914107,0.13084189006917896,
Collaborative,11+ items,2493,0.17087845968712395,0.03417569193742479,0.11127108947180746,0.2751704773365423,0.027517047733654234,0.14488580029236695,
Collaborative,3-5 items,518,0.1274131274131274,0.02548262548262548,0.0745702570930251,0.19498069498069498,0.019498069498069502,0.09616202129121137,
Collaborative,6-10 items,943,0.15906680805938495,0.031813361611876985,0.09908319213337084,0.2545068928950159,0.02545068928950159,0.12980659816661644,
Popularity,11+ items,2493,0.02807862013638187,0.005615724027276374,0.017114248684513087,0.05495387083834737,0.005495387083834738,0.025506419464028863,
Popularity,3-5 items,518,0.02895752895752896,0.005791505791505791,0.019140349031978348,0.04826254826254826,0.004826254826254826,0.02492647321865874,
Popularity,6-10 items,943,0.024390243902439025,0.004878048780487805,0.013457852294036428,0.05408271474019088,0.005408271474019088,0.02284913686448753,
