dimension_type,dimension_value,users,both_hit10,hybrid_only_hit10,collaborative_only_hit10,neither_hit10,hybrid_ndcg10_higher,collaborative_ndcg10_higher,ndcg10_equal,collaborative_recall@10,hybrid_recall@10,recall@10_delta,collaborative_ndcg@10,hybrid_ndcg@10,ndcg@10_delta
history_bucket,11+ items,2493,644,52,42,1755,175,199,2119,0.2751704773365423,0.27918170878459686,0.004011231448054553,0.14488580029236695,0.14654078000989815,0.0016549797175311597
history_bucket,3-5 items,518,96,17,5,400,52,28,438,0.19498069498069498,0.21814671814671815,0.023166023166023165,0.09616202129121137,0.10534332958488964,0.009181308293678256
history_bucket,6-10 items,943,220,22,20,681,85,76,782,0.2545068928950159,0.256627783669141,0.0021208907741251328,0.12980659816661644,0.13084189006917896,0.001035291902562516
overall,all,3954,960,91,67,2836,312,303,3339,0.2597369752149722,0.2658067779463834,0.006069802731411229,0.13490638574325686,0.13739957299567138,0.00249318725241451
target_category,accessories,403,111,15,4,273,39,32,332,0.2853598014888337,0.31265508684863524,0.02729528535980149,0.15209942397506987,0.16288400263293734,0.010784578657867472
target_category,apparel,424,100,8,8,308,32,38,354,0.25471698113207547,0.25471698113207547,0.0,0.13003379316357,0.1289465465257644,-0.001087246637805606
target_category,beauty,379,98,6,8,267,34,36,309,0.2796833773087071,0.27440633245382584,-0.005277044854881266,0.14103524511978477,0.1403509467214791,-0.0006842983983056333
target_category,books,363,83,5,11,264,22,35,306,0.25895316804407714,0.24242424242424243,-0.01652892561983471,0.1349781304239057,0.12581311766026362,-0.009165012763642066
target_category,electronics,418,107,14,8,289,37,27,354,0.2751196172248804,0.2894736842105263,0.014354066985645933,0.14290792399851637,0.14841327589098338,0.005505351892467016
target_category,grocery,379,77,10,7,285,32,29,318,0.22163588390501318,0.22955145118733508,0.0079155672823219,0.11651435744746695,0.12025524667041407,0.003740889222947137
target_category,home,428,118,13,7,290,43,36,349,0.29205607476635514,0.3060747663551402,0.014018691588785047,0.14981724476573174,0.1564847996815855,0.00666755491585373
target_category,pet_supplies,385,90,8,4,283,26,24,335,0.24415584415584415,0.2545454545454545,0.01038961038961039,0.1336360699426632,0.1385360017505657,0.0048999318079024955
target_category,sports,383,88,6,5,284,22,20,341,0.24281984334203655,0.2454308093994778,0.0026109660574412533,0.12475148012847463,0.12633330357805428,0.0015818234495796346
target_category,toys,392,88,6,5,293,25,26,341,0.2372448979591837,0.23979591836734693,0.002551020408163265,0.12064820290923597,0.12190855688819216,0.0012603539789561911
